Senator,Party,Organization,Total,PACs,Individuals
"Cramer, Kevin",(R),Odney Advertising,12250,0,12250
"Cramer, Kevin",(R),Berkshire Hathaway,12050,7500,4550
"Cramer, Kevin",(R),AT&T Inc,12005,12000,5
"Cramer, Kevin",(R),Thrivent Financial,12000,9000,3000
"Cramer, Kevin",(R),Susan B Anthony List,11950,1100,10850
"Cramer, Kevin",(R),Scheels All Sports,11800,0,11800
"Cramer, Kevin",(R),Midcontinent Media,11300,0,11300
"Cramer, Kevin",(R),National Assn of Realtors,11250,11000,250
"Cramer, Kevin",(R),Corwin Automotive Group,11100,0,11100
"Cramer, Kevin",(R),Cargill Inc,11075,0,11075
"Cramer, Kevin",(R),International Bank of Commerce,11017,5200,5817
"Cramer, Kevin",(R),Agman Partners,10800,0,10800
"Cramer, Kevin",(R),Arizona Diamondbacks,10800,0,10800
"Cramer, Kevin",(R),Baker Boy,10800,0,10800
"Cramer, Kevin",(R),Bauer Honey,10800,0,10800
"Cramer, Kevin",(R),Bernard Marcus Family Foundation,10800,0,10800
"Cramer, Kevin",(R),Beverage Wholesalers Inc,10800,0,10800
"Cramer, Kevin",(R),Bluff Point Assoc,10800,0,10800
"Cramer, Kevin",(R),Brown-Forman Corp,10800,0,10800
"Cramer, Kevin",(R),Charles Schwab Corp,10800,0,10800
"Cramer, Kevin",(R),Continental Investors,10800,0,10800
"Cramer, Kevin",(R),Environmental Services Ltd,10800,0,10800
"Cramer, Kevin",(R),Fisher Industries,10800,0,10800
"Cramer, Kevin",(R),Franklin Resources,10800,0,10800
"Cramer, Kevin",(R),Harbour Group Industries,10800,0,10800
"Cramer, Kevin",(R),HJ Kalikow & Co,10800,0,10800
"Cramer, Kevin",(R),JW Childs Assoc,10800,0,10800
"Cramer, Kevin",(R),Kent Companies,10800,0,10800
"Cramer, Kevin",(R),Lone Star Funds,10800,0,10800
"Cramer, Kevin",(R),Madison Dearborn Partners,10800,0,10800
"Cramer, Kevin",(R),Miller Insulation,10800,0,10800
"Cramer, Kevin",(R),North American Holdings,10800,0,10800
"Cramer, Kevin",(R),Nuveria,10800,0,10800
"Cramer, Kevin",(R),Red Apple Group,10800,0,10800
"Cramer, Kevin",(R),Thornton Oil,10800,0,10800
"Cramer, Kevin",(R),TPG Capital,10800,0,10800
"Cramer, Kevin",(R),Truenorth Steel,10800,0,10800
"Cramer, Kevin",(R),Vance Street Capital,10800,0,10800
"Cramer, Kevin",(R),"Welsh, Carson et al",10800,0,10800
"Cramer, Kevin",(R),Prescott Investors,10500,0,10500
"Cramer, Kevin",(R),Lignite Energy Council,10250,10000,250
"Cramer, Kevin",(R),US Bancorp,10210,7500,2710
"Cramer, Kevin",(R),Northrop Grumman,10125,10000,125
"Cramer, Kevin",(R),Titan Machinery,10100,0,10100
"Cramer, Kevin",(R),Kindred Healthcare,10082,7500,2582
"Cramer, Kevin",(R),American Crystal Sugar,10030,10000,30
"Cramer, Kevin",(R),American Bankers Assn,10025,10000,25
"Cramer, Kevin",(R),American Dental Assn,10000,10000,0
"Cramer, Kevin",(R),Bluegrass Cmte,10000,10000,0
"Cramer, Kevin",(R),Charter Communications,10000,10000,0
"Cramer, Kevin",(R),Citizens for Prosperity in America Today,10000,10000,0
"Cramer, Kevin",(R),Cloud Peak Energy Resources,10000,10000,0
"Cramer, Kevin",(R),Common Values PAC,10000,10000,0
"Cramer, Kevin",(R),Dakota PAC,10000,10000,0
"Cramer, Kevin",(R),Delta Air Lines,10000,10000,0
"Cramer, Kevin",(R),Fund for a Conservative Future,10000,10000,0
"Cramer, Kevin",(R),Heartland Values PAC,10000,10000,0
"Cramer, Kevin",(R),HellerHighWater PAC,10000,10000,0
"Cramer, Kevin",(R),Home Depot,10000,10000,0
"Cramer, Kevin",(R),ICE PAC,10000,10000,0
"Crapo, Mike",(R),Capital Group Companies,141800,50000,91800
"Crapo, Mike",(R),Carlyle Group,104200,0,104200
"Crapo, Mike",(R),Watco Companies,88220,0,88220
"Crapo, Mike",(R),Stephens Inc,81200,0,81200
"Crapo, Mike",(R),Votesane PAC,75150,0,75150
"Crapo, Mike",(R),MetLife Inc,74750,37000,37750
"Crapo, Mike",(R),Amgen Inc,73200,31500,41700
"Crapo, Mike",(R),Fresenius Medical Care,73200,51000,22200
"Crapo, Mike",(R),PNC Financial Services,71500,70500,1000
"Crapo, Mike",(R),Fidelity Investments,65000,37500,27500
"Crapo, Mike",(R),New York Life Insurance,64450,26000,38450
"Crapo, Mike",(R),Blue Cross/Blue Shield,64000,63000,1000
"Crapo, Mike",(R),UnitedHealth Group,62700,37500,25200
"Crapo, Mike",(R),Blackstone Group,59500,1000,58500
"Crapo, Mike",(R),Pfizer Inc,58500,37500,21000
"Crapo, Mike",(R),America's Credit Unions,56500,52500,4000
"Crapo, Mike",(R),Apollo Global Management,54700,1500,53200
"Crapo, Mike",(R),Clearpath Foundation,49800,0,49800
"Crapo, Mike",(R),Sinclair Companies,48500,0,48500
"Crapo, Mike",(R),Sullivan & Cromwell,48250,0,48250
"Crapo, Mike",(R),Goldman Sachs,48200,39500,8700
"Crapo, Mike",(R),JPMorgan Chase & Co,47950,33000,14950
"Crapo, Mike",(R),Zions Bancorp,46100,2700,43400
"Crapo, Mike",(R),CME Group,44000,44000,0
"Crapo, Mike",(R),CVS Health,43500,43500,0
"Crapo, Mike",(R),Merck & Co,42500,35000,7500
"Crapo, Mike",(R),1st Financial Bank USA,41200,0,41200
"Crapo, Mike",(R),Mortgage Bankers Assn,41000,40000,1000
"Crapo, Mike",(R),American Institute of CPAs,40000,40000,0
"Crapo, Mike",(R),Automotive Free International Trade PAC,40000,40000,0
"Crapo, Mike",(R),Hewlett Packard Enterprise,40000,40000,0
"Crapo, Mike",(R),Independent Community Bankers of America,40000,40000,0
"Crapo, Mike",(R),KPMG LLP,40000,40000,0
"Crapo, Mike",(R),National Assn of Home Builders,40000,40000,0
"Crapo, Mike",(R),National Assn of Real Estate Investment Trusts,40000,40000,0
"Crapo, Mike",(R),National Multifamily Housing Council,40000,40000,0
"Crapo, Mike",(R),USAA,40000,40000,0
"Crapo, Mike",(R),Quicken Loans,39900,3500,36400
"Crapo, Mike",(R),American Hospital Assn,39000,39000,0
"Crapo, Mike",(R),US Bancorp,38500,38000,500
"Crapo, Mike",(R),Wells Fargo,38500,19000,19500
"Crapo, Mike",(R),Regions Financial,38000,38000,0
"Crapo, Mike",(R),National Assn of Realtors,37990,37990,0
"Crapo, Mike",(R),Fidelity National Financial,37920,7920,30000
"Crapo, Mike",(R),Consumer Bankers Assn,37500,37500,0
"Crapo, Mike",(R),Union Pacific Corp,37500,37500,0
"Crapo, Mike",(R),United Parcel Service,36200,36200,0
"Crapo, Mike",(R),Royal Bank of Canada,35500,10000,25500
"Crapo, Mike",(R),American Land Title Assn,35000,35000,0
"Crapo, Mike",(R),American Medical Assn,35000,35000,0
"Crapo, Mike",(R),Deloitte LLP,35000,35000,0
"Crapo, Mike",(R),Honeywell International,35000,35000,0
"Crapo, Mike",(R),Independent Insurance Agents & Brokers of America,35000,35000,0
"Crapo, Mike",(R),Thrivent Financial,35000,28000,7000
"Crapo, Mike",(R),Visa Inc,35000,35000,0
"Crapo, Mike",(R),DaVita Inc,33500,31000,2500
"Crapo, Mike",(R),Investment Co Institute,33500,33500,0
"Crapo, Mike",(R),Northrop Grumman,33500,33500,0
"Crapo, Mike",(R),Prudential Financial,33500,31500,2000
"Crapo, Mike",(R),Abbott Laboratories,32500,32500,0
"Crapo, Mike",(R),Capital One Financial,32500,32500,0
"Crapo, Mike",(R),Genesee & Wyoming,31500,23100,8400
"Crapo, Mike",(R),American Bankers Assn,31000,29500,1500
"Crapo, Mike",(R),Citigroup Inc,31000,30000,1000
"Crapo, Mike",(R),Humana Inc,30500,30500,0
"Crapo, Mike",(R),Wine & Spirits Wholesalers of America,30499,30499,0
"Crapo, Mike",(R),American Council of Life Insurers,30000,30000,0
"Crapo, Mike",(R),Bank of New York Mellon,30000,30000,0
"Crapo, Mike",(R),Home Depot,30000,30000,0
"Crapo, Mike",(R),National Auto Dealers Assn,30000,30000,0
"Crapo, Mike",(R),UBS Americas,28300,25000,3300
"Crapo, Mike",(R),AFLAC Inc,28000,28000,0
"Crapo, Mike",(R),American Property Casualty Insurance Assn,28000,28000,0
"Crapo, Mike",(R),Pharmaceutical Research & Manufacturers Of America,27500,16000,11500
"Crapo, Mike",(R),Travelers Companies,27500,27500,0
"Crapo, Mike",(R),Ernst & Young,27000,26500,500
"Crapo, Mike",(R),Harbinger Strategies,27000,0,27000
"Crapo, Mike",(R),Agri Beef,26800,0,26800
"Crapo, Mike",(R),Truist Financial,26500,26500,0
"Crapo, Mike",(R),Pacific Companies,26300,0,26300
"Crapo, Mike",(R),Walmart Inc,26025,26000,25
"Crapo, Mike",(R),Federal Reserve Board,26000,0,26000
"Crapo, Mike",(R),National Assn of Mutual Insurance Companies,26000,24000,2000
"Crapo, Mike",(R),Micron Technology,25950,20000,5950
"Crapo, Mike",(R),Plummer Forest Products,25800,0,25800
"Crapo, Mike",(R),Berkshire Hathaway,25500,25000,500
"Crapo, Mike",(R),Bristol-Myers Squibb,25000,15000,10000
"Crapo, Mike",(R),Depository Trust & Clearing Corp,25000,25000,0
"Crapo, Mike",(R),National Beer Wholesalers Assn,25000,25000,0
"Crapo, Mike",(R),Delta Strategy Group,24528,0,24528
"Crapo, Mike",(R),AbbVie Inc,24500,24500,0
"Crapo, Mike",(R),Credit Suisse Group,24500,24000,500
"Crapo, Mike",(R),Massachusetts Mutual Life Insurance,24500,20500,4000
"Crapo, Mike",(R),Guardian Life Insurance,24000,16000,8000
"Crapo, Mike",(R),Northwestern Mutual Life Insurance,24000,20000,4000
"Crapo, Mike",(R),T-Mobile USA,24000,24000,0
"Crapo, Mike",(R),Comcast Corp,23500,22500,1000
"Crapo, Mike",(R),American Assn of Nurse Anesthetists,23000,23000,0
"Crapo, Mike",(R),Bayer AG,23000,23000,0
"Crapo, Mike",(R),TPG Capital,22900,0,22900
"Cruz, Ted",(R),Senate Conservatives Fund,276588,0,276588
"Cruz, Ted",(R),Club for Growth,234832,0,234832
"Cruz, Ted",(R),Woodforest Financial Group,148201,0,148201
"Cruz, Ted",(R),Berkshire Hathaway,103128,40000,63128
"Cruz, Ted",(R),Lockheed Martin,99570,42000,57570
"Cruz, Ted",(R),NorPAC,93950,0,93950
"Cruz, Ted",(R),Sullivan & Cromwell,72913,0,72913
"Cruz, Ted",(R),Delta Air Lines,68484,22500,45984
"Cruz, Ted",(R),Insperity,67025,0,67025
"Cruz, Ted",(R),Stewart Title Guaranty,65965,0,65965
"Cruz, Ted",(R),Jennmar Corp,65700,0,65700
"Cruz, Ted",(R),Sutton Ventures Group,61800,0,61800
"Cruz, Ted",(R),Avalon Advisors,60700,0,60700
"Cruz, Ted",(R),Doggett Industries,57200,0,57200
"Cruz, Ted",(R),Rida Development,57000,0,57000
"Cruz, Ted",(R),USAA,56838,25000,31838
"Cruz, Ted",(R),Hilcorp Energy,54518,0,54518
"Cruz, Ted",(R),Ryan LLC,52666,20000,32666
"Cruz, Ted",(R),JW Childs Assoc,52400,0,52400
"Cruz, Ted",(R),Stewart & Stevenson,52400,0,52400
"Cruz, Ted",(R),Lodge Lumber,52165,0,52165
"Cruz, Ted",(R),Southwest Airlines,51596,5998,45598
"Cruz, Ted",(R),Herzog,50500,5000,45500
"Cruz, Ted",(R),American Airlines Group,50328,19000,31328
"Cruz, Ted",(R),Valero Energy,50019,24000,26019
"Cruz, Ted",(R),Bluewater International,49900,0,49900
"Cruz, Ted",(R),AT&T Inc,48670,35000,13670
"Cruz, Ted",(R),"Gibson, Dunn & Crutcher",48050,0,48050
"Cruz, Ted",(R),Chevron Corp,47745,14000,33745
"Cruz, Ted",(R),Union Pacific Corp,47550,40000,7550
"Cruz, Ted",(R),Southern Glazer's Wine & Spirits,47425,0,47425
"Cruz, Ted",(R),MIDDLETON OIL CO,47000,0,47000
"Cruz, Ted",(R),Cinemark USA,45800,0,45800
"Cruz, Ted",(R),Greenberg Traurig LLP,45210,2500,42710
"Cruz, Ted",(R),Cooper & Kirk,44600,0,44600
"Cruz, Ted",(R),Hudson River Trading,44100,0,44100
"Cruz, Ted",(R),Pbf Energy,43560,0,43560
"Cruz, Ted",(R),Duty Free Americas,43200,0,43200
"Cruz, Ted",(R),Goldman Sachs,42675,5000,37675
"Cruz, Ted",(R),Republican Jewish Coalition,42474,10000,32474
"Cruz, Ted",(R),Ariel Corp,41600,0,41600
"Cruz, Ted",(R),Deason Capital Services,40800,0,40800
"Cruz, Ted",(R),Saulsbury Industries,40730,0,40730
"Cruz, Ted",(R),State of Texas,40402,0,40402
"Cruz, Ted",(R),Comcast Corp,39765,25000,14765
"Cruz, Ted",(R),Huffines Communities,39700,0,39700
"Cruz, Ted",(R),UnitedHealth Group,39384,2500,36884
"Cruz, Ted",(R),Hicks Holdings,39060,0,39060
"Cruz, Ted",(R),Mirand Response Systems,38900,0,38900
"Cruz, Ted",(R),University of Texas,38784,0,38784
"Cruz, Ted",(R),Interstate Batteries,38500,0,38500
"Cruz, Ted",(R),Debusk Services Group,38300,0,38300
"Cruz, Ted",(R),Accenture,37809,15000,22809
"Cruz, Ted",(R),Platinum Health Care,37400,0,37400
"Cruz, Ted",(R),Republic National Distributing,37400,0,37400
"Cruz, Ted",(R),Quantum Energy Partners,37100,0,37100
"Cruz, Ted",(R),Exxon Mobil,36997,10000,26997
"Cruz, Ted",(R),JAT Capital Partners,36600,0,36600
"Cruz, Ted",(R),Oberheiden Pc,36600,0,36600
"Cruz, Ted",(R),FedEx Corp,36560,22000,14560
"Cruz, Ted",(R),Honeywell International,36255,26000,10255
"Cruz, Ted",(R),Citadel LLC,36200,0,36200
"Cruz, Ted",(R),Bechtel Group,36016,0,36016
"Cruz, Ted",(R),Apollo Global Management,35650,0,35650
"Cruz, Ted",(R),Desert Royalty Co,35600,0,35600
"Cruz, Ted",(R),Henry Resources,33437,0,33437
"Cruz, Ted",(R),Wilks Brothers,33028,0,33028
"Cruz, Ted",(R),Morgan Lewis LLP,32966,0,32966
"Cruz, Ted",(R),Credit Suisse Group,32200,0,32200
"Cruz, Ted",(R),Occidental Petroleum,32184,7500,24684
"Cruz, Ted",(R),Heavy Construction Systems Specialists,32050,0,32050
"Cruz, Ted",(R),RE Janes Gravel Co,31600,0,31600
"Cruz, Ted",(R),Texas Transeastern,31600,0,31600
"Cruz, Ted",(R),US Government,31084,0,31084
"Cruz, Ted",(R),Arizona Diamondbacks,30800,0,30800
"Cruz, Ted",(R),Baker Botts LLP,30625,1000,29625
"Cruz, Ted",(R),US Army,30375,0,30375
"Cruz, Ted",(R),Mister Sweeper LP,30000,0,30000
"Cruz, Ted",(R),Norfolk Southern,30000,30000,0
"Cruz, Ted",(R),Expand Energy,29485,2500,26985
"Cruz, Ted",(R),US Anesthesia Partners,29316,0,29316
"Cruz, Ted",(R),McCombs Enterprises,29300,0,29300
"Cruz, Ted",(R),Taste of Texas Restaurant,29300,0,29300
"Cruz, Ted",(R),Warburg Pincus,29220,0,29220
"Cruz, Ted",(R),Bank of America,29147,0,29147
"Cruz, Ted",(R),Boeing Co,29132,10000,19132
"Cruz, Ted",(R),Research Affiliates LLC,28700,0,28700
"Cruz, Ted",(R),Williams Brothers Construction,28700,0,28700
"Cruz, Ted",(R),KKR & Co,28653,0,28653
"Cruz, Ted",(R),Dell Technologies,28510,14000,14510
"Cruz, Ted",(R),Redman Management,28400,0,28400
"Cruz, Ted",(R),Discovery Operating,28000,0,28000
"Cruz, Ted",(R),Jackson Walker Llp,27317,0,27317
"Cruz, Ted",(R),Northrop Grumman,27227,20000,7227
"Cruz, Ted",(R),Crow Holdings,27200,0,27200
"Cruz, Ted",(R),Giles & O'Malley,27000,0,27000
"Cruz, Ted",(R),Tennessee Industrial Electronics,26700,0,26700
"Cruz, Ted",(R),Mid States Operating Co,26400,0,26400
"Cruz, Ted",(R),Sage Energy,26400,0,26400
"Cruz, Ted",(R),Anthem Ventures,26200,0,26200
"Daines, Steven",(R),Senate Conservatives Fund,295841,10000,285841
"Daines, Steven",(R),Club for Growth,109971,0,109971
"Daines, Steven",(R),Charter Communications,81124,40000,41124
"Daines, Steven",(R),Susan B Anthony List,65125,7900,57225
"Daines, Steven",(R),Langlas & Assoc,64102,0,64102
"Daines, Steven",(R),Republican Jewish Coalition,62058,9209,52849
"Daines, Steven",(R),Procter & Gamble,56499,9000,47499
"Daines, Steven",(R),Berkshire Hathaway,55241,40000,15241
"Daines, Steven",(R),Amgen Inc,54630,26000,28630
"Daines, Steven",(R),Blackstone Group,53911,0,53911
"Daines, Steven",(R),Microsoft Corp,52722,37500,15222
"Daines, Steven",(R),New York Life Insurance,49628,35000,14628
"Daines, Steven",(R),Barnard Construction,47845,0,47845
"Daines, Steven",(R),FedEx Corp,47523,35500,12023
"Daines, Steven",(R),United Parcel Service,46556,37500,9056
"Daines, Steven",(R),Northrop Grumman,45170,38500,6670
"Daines, Steven",(R),National Republican Senatorial Cmte,44625,44600,25
"Daines, Steven",(R),Altria Group,44300,30000,14300
"Daines, Steven",(R),Deloitte LLP,42337,40000,2337
"Daines, Steven",(R),Honeywell International,42005,38500,3505
"Daines, Steven",(R),Sinclair Companies,41750,0,41750
"Daines, Steven",(R),Home Depot,41208,35500,5708
"Daines, Steven",(R),NorPAC,40770,0,40770
"Daines, Steven",(R),Sequoia Capital,40700,0,40700
"Daines, Steven",(R),NextEra Energy,39899,16500,23399
"Daines, Steven",(R),Goldman Sachs,39225,20000,19225
"Daines, Steven",(R),Saulsbury Industries,39200,0,39200
"Daines, Steven",(R),GBX Group,38750,0,38750
"Daines, Steven",(R),Blue Cross/Blue Shield,38485,36000,2485
"Daines, Steven",(R),Ignition Partners,38075,0,38075
"Daines, Steven",(R),Union Pacific Corp,36035,33000,3035
"Daines, Steven",(R),Hewlett Packard Enterprise,35821,35500,321
"Daines, Steven",(R),Wells Fargo,35401,12000,23401
"Daines, Steven",(R),T-Mobile USA,35040,29000,6040
"Daines, Steven",(R),American Hotel & Lodging Assn,35000,35000,0
"Daines, Steven",(R),California Dairies Inc,35000,35000,0
"Daines, Steven",(R),National Auto Dealers Assn,35000,35000,0
"Daines, Steven",(R),Elliott Management,33500,0,33500
"Daines, Steven",(R),Yellowstone Bank,32600,0,32600
"Daines, Steven",(R),NCTA The Internet & Television Assn,32500,32500,0
"Daines, Steven",(R),General Dynamics,31543,25000,6543
"Daines, Steven",(R),Wine & Spirits Wholesalers of America,31000,31000,0
"Daines, Steven",(R),Southern Co,29815,29000,815
"Daines, Steven",(R),Comcast Corp,29238,27500,1738
"Daines, Steven",(R),Delta Air Lines,28416,21000,7416
"Daines, Steven",(R),Lockheed Martin,28279,10000,18279
"Daines, Steven",(R),Agua Caliente Band of Cahuilla Indians,28000,0,28000
"Daines, Steven",(R),Steelhead Partners,28000,0,28000
"Daines, Steven",(R),CSX Corp,27924,27500,424
"Daines, Steven",(R),Chevron Corp,27698,10000,17698
"Daines, Steven",(R),Mortgage Bankers Assn,27000,27000,0
"Daines, Steven",(R),"National Stone, Sand & Gravel Assn",27000,27000,0
"Daines, Steven",(R),Bank of America,26936,1000,25936
"Daines, Steven",(R),BGR Group,26775,925,25850
"Daines, Steven",(R),United Dairy Farmers,26650,0,26650
"Daines, Steven",(R),DISH Network,26550,10000,16550
"Daines, Steven",(R),Melrose Industries,26438,0,26438
"Daines, Steven",(R),TA Assoc,26300,9500,16800
"Daines, Steven",(R),CC Clark Inc,25720,0,25720
"Daines, Steven",(R),Boeing Co,25554,10000,15554
"Daines, Steven",(R),Norfolk Southern,25260,25000,260
"Daines, Steven",(R),"Cohen, Klingenstein & Marks",25200,0,25200
"Daines, Steven",(R),Laborers Union,25075,25000,75
"Daines, Steven",(R),Automotive Free International Trade PAC,25000,25000,0
"Daines, Steven",(R),International Franchise Assn,25000,25000,0
"Daines, Steven",(R),National Beer Wholesalers Assn,25000,25000,0
"Daines, Steven",(R),National Multifamily Housing Council,25000,25000,0
"Daines, Steven",(R),Walmart Inc,24990,16000,8990
"Daines, Steven",(R),AT&T Inc,24974,17500,7474
"Daines, Steven",(R),National Air Traffic Controllers Assn,24500,24500,0
"Daines, Steven",(R),Rock Holdings,24500,12000,12500
"Daines, Steven",(R),Air Line Pilots Assn,23500,23500,0
"Daines, Steven",(R),National Assn of Broadcasters,23000,21500,1500
"Daines, Steven",(R),National Assn of Convenience Stores,23000,23000,0
"Daines, Steven",(R),American Dental Assn,22950,22500,450
"Daines, Steven",(R),"Akin, Gump et al",22770,6500,16270
"Daines, Steven",(R),Koch Inc,22530,20000,2530
"Daines, Steven",(R),Koch Industries,22500,20000,2500
"Daines, Steven",(R),US Government,22405,0,22405
"Daines, Steven",(R),National Assn of Realtors,22000,20000,2000
"Daines, Steven",(R),Quicken Loans,22000,0,22000
"Daines, Steven",(R),"Bryan, Cave et al",21958,19000,2958
"Daines, Steven",(R),Charles Schwab Corp,21938,8000,13938
"Daines, Steven",(R),Verizon Communications,21591,19000,2591
"Daines, Steven",(R),General Motors,21585,19000,2585
"Daines, Steven",(R),Teamworthy Group,21400,0,21400
"Daines, Steven",(R),Fisher Investments,21200,0,21200
"Daines, Steven",(R),KKR & Co,21097,1500,19597
"Daines, Steven",(R),Association of KFC Franchisees,21000,21000,0
"Daines, Steven",(R),Independent Community Bankers of America,21000,21000,0
"Daines, Steven",(R),Genentech Inc,20861,17500,3361
"Daines, Steven",(R),National Assn of Real Estate Investment Trusts,20750,20500,250
"Daines, Steven",(R),Democracy Engine,20450,0,20450
"Daines, Steven",(R),US House of Representatives,20335,0,20335
"Daines, Steven",(R),"Brownstein, Hyatt et al",20250,10500,9750
"Daines, Steven",(R),Amazon.com,20235,9500,10735
"Daines, Steven",(R),Town Pump Inc,20025,0,20025
"Daines, Steven",(R),Credit Union National Assn,20000,20000,0
"Daines, Steven",(R),Regions Financial,19877,19500,377
"Daines, Steven",(R),Crossharbor Capital Partners,19500,0,19500
"Duckworth, Tammy",(D),EMILY's List,426574,8275,418299
"Duckworth, Tammy",(D),JStreetPAC,194437,5000,189437
"Duckworth, Tammy",(D),League of Conservation Voters,179310,13000,166310
"Duckworth, Tammy",(D),Simmons Hanly Conroy,131775,0,131775
"Duckworth, Tammy",(D),Willis Towers Watson,51944,0,51944
"Duckworth, Tammy",(D),Northrop Grumman,48528,42500,6028
"Duckworth, Tammy",(D),Democratic Senatorial Campaign Cmte,46800,46800,0
"Duckworth, Tammy",(D),Council for a Livable World,45087,0,45087
"Duckworth, Tammy",(D),Kirkland & Ellis,43878,0,43878
"Duckworth, Tammy",(D),United Food & Commercial Workers Union,38307,37500,807
"Duckworth, Tammy",(D),State of Illinois,36942,0,36942
"Duckworth, Tammy",(D),University of California,36843,0,36843
"Duckworth, Tammy",(D),Exelon Corp,35902,12500,23402
"Duckworth, Tammy",(D),Northwestern University,35601,0,35601
"Duckworth, Tammy",(D),University of Illinois,35175,0,35175
"Duckworth, Tammy",(D),American Maritime Officers,35000,35000,0
"Duckworth, Tammy",(D),Cooney & Conway,34265,0,34265
"Duckworth, Tammy",(D),Blue Cross/Blue Shield,33384,17000,16384
"Duckworth, Tammy",(D),Select Medical Corp,33078,25000,8078
"Duckworth, Tammy",(D),Honeywell International,32905,32500,405
"Duckworth, Tammy",(D),Winston & Strawn,32410,10400,22010
"Duckworth, Tammy",(D),University of Chicago,32409,0,32409
"Duckworth, Tammy",(D),Air Line Pilots Assn,32063,30000,2063
"Duckworth, Tammy",(D),American Assn of Orthopaedic Surgeons,32000,32000,0
"Duckworth, Tammy",(D),VoteVets.org,32000,32000,0
"Duckworth, Tammy",(D),International Brotherhood of Electrical Workers,31523,30000,1523
"Duckworth, Tammy",(D),L3Harris Technologies,30775,28000,2775
"Duckworth, Tammy",(D),American Crystal Sugar,30000,30000,0
"Duckworth, Tammy",(D),Deloitte LLP,29702,27500,2202
"Duckworth, Tammy",(D),Womencount PAC,28083,848,27235
"Duckworth, Tammy",(D),American Orthotic & Prosthetic Assn,26449,22500,3949
"Duckworth, Tammy",(D),Berkshire Hathaway,26245,25000,1245
"Duckworth, Tammy",(D),Comcast Corp,26241,20000,6241
"Duckworth, Tammy",(D),Union Pacific Corp,26130,25000,1130
"Duckworth, Tammy",(D),"Sheet Metal, Air, Rail & Transportation Union",26000,26000,0
"Duckworth, Tammy",(D),Home Depot,25338,25000,338
"Duckworth, Tammy",(D),Cigna Corp,25123,24500,623
"Duckworth, Tammy",(D),AbbVie Inc,25109,23500,1609
"Duckworth, Tammy",(D),Poet LLC,25000,20000,5000
"Duckworth, Tammy",(D),Clifford Law Offices,24550,0,24550
"Duckworth, Tammy",(D),Motorola Solutions,24315,24000,315
"Duckworth, Tammy",(D),Pfizer Inc,24218,21000,3218
"Duckworth, Tammy",(D),"Bartlit, Beck et al",24100,0,24100
"Duckworth, Tammy",(D),Thornton Law Firm,23500,0,23500
"Duckworth, Tammy",(D),"Akin, Gump et al",23425,250,23175
"Duckworth, Tammy",(D),AT&T Inc,23381,9500,13881
"Duckworth, Tammy",(D),American Assn for Justice,22400,22000,400
"Duckworth, Tammy",(D),Motley Rice LLC,22290,0,22290
"Duckworth, Tammy",(D),Phosplatin Therapeutics,22000,0,22000
"Duckworth, Tammy",(D),Mesirow Financial,21750,0,21750
"Duckworth, Tammy",(D),UnitedHealth Group,21605,20000,1605
"Duckworth, Tammy",(D),Rmk Management,21400,0,21400
"Duckworth, Tammy",(D),National Air Traffic Controllers Assn,21250,21250,0
"Duckworth, Tammy",(D),Anheuser-Busch,21000,21000,0
"Duckworth, Tammy",(D),NCTA The Internet & Television Assn,21000,21000,0
"Duckworth, Tammy",(D),Brandenburg Industrial Service,20800,0,20800
"Duckworth, Tammy",(D),"City of Chicago, IL",20512,0,20512
"Duckworth, Tammy",(D),Corboy & Demetrio,20500,0,20500
"Duckworth, Tammy",(D),Teamsters Union,20100,20000,100
"Duckworth, Tammy",(D),American Federation of State/Cnty/Munic Employees,20078,20000,78
"Duckworth, Tammy",(D),Cboe Global Markets,20075,15000,5075
"Duckworth, Tammy",(D),UNITE HERE,20025,20000,25
"Duckworth, Tammy",(D),Bricklayers Union,20020,20000,20
"Duckworth, Tammy",(D),National Assn of Letter Carriers,20020,15000,5020
"Duckworth, Tammy",(D),Aircraft Owners & Pilots Assn,20000,20000,0
"Duckworth, Tammy",(D),CSX Corp,20000,20000,0
"Duckworth, Tammy",(D),Great Lakes PAC,20000,20000,0
"Duckworth, Tammy",(D),Prairie PAC,20000,20000,0
"Duckworth, Tammy",(D),Bucher Medical Services,19950,0,19950
"Duckworth, Tammy",(D),AAR Corp,19500,8200,11300
"Duckworth, Tammy",(D),Serve America PAC,19200,19200,0
"Duckworth, Tammy",(D),Power Rogers LLP,18700,0,18700
"Duckworth, Tammy",(D),Growth Energy,18500,18500,0
"Duckworth, Tammy",(D),American Federation of Teachers,18369,17500,869
"Duckworth, Tammy",(D),"Buchanan, Ingersoll & Rooney",18180,0,18180
"Duckworth, Tammy",(D),US Dept of Veterans Affairs,17662,0,17662
"Duckworth, Tammy",(D),Sidley Austin LLP,17650,1000,16650
"Duckworth, Tammy",(D),Charter Communications,17628,17500,128
"Duckworth, Tammy",(D),RTX Corp,17619,16000,1619
"Duckworth, Tammy",(D),MRHFM Law Firm,17583,0,17583
"Duckworth, Tammy",(D),USAA,17570,17500,70
"Duckworth, Tammy",(D),Transport Workers Union,17500,17500,0
"Duckworth, Tammy",(D),Bend The Arc Jewish Action,17151,10000,7151
"Duckworth, Tammy",(D),United Airlines Holdings,16746,7000,9746
"Duckworth, Tammy",(D),GCM Grosvenor,16700,0,16700
"Duckworth, Tammy",(D),US Dept of Energy,16472,0,16472
