Senator,Party,Organization,Total,PACs,Individuals
"Baldwin, Tammy",(D),"Quinn, Emanuel et al",18959,0,18959
"Baldwin, Tammy",(D),American Medical Assn,18920,5000,13920
"Baldwin, Tammy",(D),"Williams, Hart et al",18900,0,18900
"Baldwin, Tammy",(D),Telephone & Data Systems Inc,18820,12500,6320
"Baldwin, Tammy",(D),Hewlett Packard Enterprise,18730,18000,730
"Barrasso, John A",(R),Pinnacle West Capital,77800,35000,42800
"Barrasso, John A",(R),Amgen Inc,77150,40000,37150
"Barrasso, John A",(R),Delta Air Lines,70610,25000,45610
"Barrasso, John A",(R),CVS Health,57425,42500,14925
"Barrasso, John A",(R),Sinclair Companies,54850,0,54850
"Barrasso, John A",(R),NextEra Energy,54550,28000,26550
"Barrasso, John A",(R),Berkshire Hathaway,54038,38000,16038
"Barrasso, John A",(R),Exelon Corp,50400,30000,20400
"Barrasso, John A",(R),Blue Cross/Blue Shield,49025,43500,5525
"Barrasso, John A",(R),Abbott Laboratories,48000,48000,0
"Barrasso, John A",(R),AbbVie Inc,44550,29500,15050
"Barrasso, John A",(R),Verizon Communications,43500,37000,6500
"Barrasso, John A",(R),Blackstone Group,43200,0,43200
"Barrasso, John A",(R),Neurological Surgery PC,43200,0,43200
"Barrasso, John A",(R),Marathon Petroleum,43000,43000,0
"Barrasso, John A",(R),United Parcel Service,43000,43000,0
"Barrasso, John A",(R),Clearpath Foundation,42700,0,42700
"Barrasso, John A",(R),American Dental Assn,42500,42500,0
"Barrasso, John A",(R),Merck & Co,42500,40000,2500
"Barrasso, John A",(R),American Medical Assn,40250,40000,250
"Barrasso, John A",(R),Northrop Grumman,40050,40000,50
"Barrasso, John A",(R),Automotive Free International Trade PAC,40000,40000,0
"Barrasso, John A",(R),Comcast Corp,40000,40000,0
"Barrasso, John A",(R),National Assn of Home Builders,40000,40000,0
"Barrasso, John A",(R),National Assn of Real Estate Investment Trusts,40000,40000,0
"Barrasso, John A",(R),National Multifamily Housing Council,40000,40000,0
"Barrasso, John A",(R),National Assn of Convenience Stores,39500,39500,0
"Barrasso, John A",(R),Pfizer Inc,38700,30000,8700
"Barrasso, John A",(R),National Assn of Broadcasters,38500,37500,1000
"Barrasso, John A",(R),Union Pacific Corp,38500,38500,0
"Barrasso, John A",(R),FirstEnergy Corp,38250,37000,1250
"Barrasso, John A",(R),National Beer Wholesalers Assn,37500,37500,0
"Barrasso, John A",(R),iHeartMedia Inc,36400,31000,5400
"Barrasso, John A",(R),Eastman Chemical,36000,36000,0
"Barrasso, John A",(R),Chevron Corp,35900,14000,21900
"Barrasso, John A",(R),Honeywell International,35010,35000,10
"Barrasso, John A",(R),American Hotel & Lodging Assn,35000,35000,0
"Barrasso, John A",(R),Charter Communications,35000,35000,0
"Barrasso, John A",(R),Hewlett Packard Enterprise,35000,35000,0
"Barrasso, John A",(R),Mortgage Bankers Assn,35000,35000,0
"Barrasso, John A",(R),NCTA The Internet & Television Assn,35000,35000,0
"Barrasso, John A",(R),Norfolk Southern,35000,35000,0
"Barrasso, John A",(R),UnitedHealth Group,35000,35000,0
"Barrasso, John A",(R),Wine & Spirits Wholesalers of America,35000,35000,0
"Barrasso, John A",(R),Walmart Inc,34900,29500,5400
"Barrasso, John A",(R),Microsoft Corp,34000,34000,0
"Barrasso, John A",(R),National Rural Electric Cooperative Assn,34000,34000,0
"Barrasso, John A",(R),FMC Corp,33300,22000,11300
"Barrasso, John A",(R),Home Depot,32501,32000,501
"Barrasso, John A",(R),CSX Corp,32500,32500,0
"Barrasso, John A",(R),Google Inc,32500,32500,0
"Barrasso, John A",(R),Sempra Energy,32500,32500,0
"Barrasso, John A",(R),Fierce Government Relations,32400,0,32400
"Barrasso, John A",(R),Occidental Petroleum,32300,21000,11300
"Barrasso, John A",(R),FedEx Corp,32000,32000,0
"Barrasso, John A",(R),PG&E Corp,32000,27000,5000
"Barrasso, John A",(R),Capital Group Companies,31900,12000,19900
"Barrasso, John A",(R),1st Financial Bank USA,31000,0,31000
"Barrasso, John A",(R),Eli Lilly & Co,30200,27500,2700
"Barrasso, John A",(R),Fluor Corp,30000,30000,0
"Barrasso, John A",(R),General Dynamics,30000,30000,0
"Barrasso, John A",(R),Humana Inc,30000,30000,0
"Barrasso, John A",(R),Valero Energy,30000,30000,0
"Barrasso, John A",(R),National Assn of Realtors,29000,29000,0
"Barrasso, John A",(R),Williams Companies,29000,17000,12000
"Barrasso, John A",(R),Apollo Global Management,28800,5000,23800
"Barrasso, John A",(R),Ford Motor Co,28535,27500,1035
"Barrasso, John A",(R),Massachusetts Mutual Life Insurance,28500,28000,500
"Barrasso, John A",(R),Medquest Pharmacy,28000,0,28000
"Barrasso, John A",(R),"Brownstein, Hyatt et al",27900,14500,13400
"Barrasso, John A",(R),General Motors,27700,25000,2700
"Barrasso, John A",(R),Peabody Energy,27550,27500,50
"Barrasso, John A",(R),Centene Corp,27500,11500,16000
"Barrasso, John A",(R),National Apartment Assn,27500,27500,0
"Barrasso, John A",(R),National Auto Dealers Assn,27500,27500,0
"Barrasso, John A",(R),Williams & Jensen,27450,2000,25450
"Barrasso, John A",(R),Southern Co,27015,27000,15
"Barrasso, John A",(R),Sanofi US,27000,24500,2500
"Barrasso, John A",(R),American Assn of Orthopaedic Surgeons,26500,26500,0
"Barrasso, John A",(R),"National Stone, Sand & Gravel Assn",26000,26000,0
"Barrasso, John A",(R),Parsons Corp,26000,26000,0
"Barrasso, John A",(R),DISH Network,25700,5000,20700
"Barrasso, John A",(R),Koch Industries,25400,20000,5400
"Barrasso, John A",(R),Cherokee Nation,25000,0,25000
"Barrasso, John A",(R),Prudential Financial,25000,25000,0
"Barrasso, John A",(R),American Trucking Assns,24500,22500,2000
"Barrasso, John A",(R),BGR Group,24500,0,24500
"Barrasso, John A",(R),S-3 Group,24000,0,24000
"Barrasso, John A",(R),Energy Capital Partners,23900,13500,10400
"Barrasso, John A",(R),Ingram Industries,23100,10000,13100
"Barrasso, John A",(R),HollyFrontier Corp,22500,22500,0
"Barrasso, John A",(R),International Paper,22500,22500,0
"Barrasso, John A",(R),McKesson Corp,22500,22500,0
"Barrasso, John A",(R),Harbinger Strategies,22250,0,22250
"Barrasso, John A",(R),EmergeOrtho,22196,10000,12196
"Barrasso, John A",(R),Crestview Partners,21600,0,21600
"Barrasso, John A",(R),Pharmaceutical Research & Manufacturers Of America,21500,11500,10000
"Barrasso, John A",(R),Dannenbaum Engineering,21400,0,21400
"Barrasso, John A",(R),American Academy of Dermatology Assn,21000,21000,0
"Barrasso, John A",(R),Ernst & Young,21000,20000,1000
"Bennet, Michael",(D),League of Conservation Voters,297105,12499,284606
"Bennet, Michael",(D),Blackstone Group,149900,0,149900
